member_id,dob,gender,annual_pension_gbp,commencement_date,pension_type,dependant_indicator
UKA-00159,1950-07-15,M,26566.49,2006-08-01,escalating,1
UKA-00160,1940-12-08,F,11575.98,1998-06-01,escalating,1
UKA-00161,1955-06-13,F,22675.28,2023-05-01,escalating,0
UKA-00162,1953-09-14,F,26288.57,2000-05-01,level,0
UKA-00163,1953-06-20,F,19723.76,2006-04-01,level,0
UKA-00164,1954-05-28,F,25698.37,2014-06-01,level,0
UKA-00165,1946-03-25,M,5688.96,2019-02-01,level,1
UKA-00166,1938-03-01,M,22059.87,2022-09-01,level,0
UKA-00167,1959-05-13,F,3671.63,2022-08-01,escalating,1
UKA-00168,1946-08-11,F,26386.29,2023-05-01,escalating,1
UKA-00169,1942-05-06,F,34538.2,2015-08-01,level,1
UKA-00170,1940-06-02,F,12043.47,1998-10-01,escalating,1
UKA-00171,1958-03-18,F,30232.29,2021-06-01,level,0
UKA-00172,1948-08-10,F,16871.41,2019-07-01,level,1
UKA-00173,1944-02-16,M,22190.44,2017-08-01,escalating,1
UKA-00174,1950-08-18,F,12818.12,2005-11-01,escalating,1
UKA-00175,1948-08-02,F,20161.12,2007-10-01,escalating,1
UKA-00176,1946-04-24,F,27144.71,2023-02-01,level,0
UKA-00177,1948-12-02,F,36073.65,2000-01-01,escalating,1
UKA-00178,1957-01-16,M,6772.26,2004-05-01,escalating,1
UKA-00179,1940-10-13,M,22018.88,2008-03-01,escalating,1
UKA-00180,1959-02-12,M,14424.81,2008-07-01,escalating,1
UKA-00181,1945-07-03,F,15159.59,2008-10-01,escalating,0
UKA-00182,1942-06-06,M,27861.64,2020-12-01,escalating,0
UKA-00183,1943-02-08,F,27510.58,2023-06-01,level,1
UKA-00184,1949-07-11,M,25153.35,1998-03-01,level,1
UKA-00185,1949-06-26,F,12341.22,2015-12-01,level,0
UKA-00186,1947-05-23,F,21786.0,2022-03-01,escalating,1
UKA-00187,1941-03-02,M,31305.34,2016-11-01,escalating,0
UKA-00188,1955-09-05,M,21553.46,2006-02-01,escalating,1
UKA-00189,1959-09-03,M,35333.94,2005-03-01,level,1
UKA-00190,1948-01-18,M,12809.92,2003-12-01,escalating,1
UKA-00191,1944-06-21,F,17914.13,2022-03-01,level,1
UKA-00192,1953-08-19,F,6825.16,2001-03-01,level,0
UKA-00193,1953-02-20,M,9080.6,2002-07-01,escalating,1
UKA-00194,1949-04-19,M,25512.66,2021-01-01,escalating,0
UKA-00195,1944-10-17,F,22699.93,2006-01-01,escalating,0
UKA-00196,1940-08-06,F,11697.21,2012-12-01,escalating,0
UKA-00197,1938-01-18,F,9361.54,2020-04-01,escalating,0
UKA-00198,1956-06-04,F,10044.18,2000-07-01,escalating,0
UKA-00199,1957-06-24,M,33265.08,2014-10-01,level,1
UKA-00200,1953-02-10,F,7352.2,2006-04-01,level,1
UKA-00201,1944-06-18,M,14510.4,2002-10-01,escalating,0
UKA-00202,1956-01-27,F,11869.72,2016-04-01,escalating,1
UKA-00203,1948-06-15,F,20433.92,2003-05-01,escalating,0
UKA-00204,1956-07-09,F,25832.78,2017-02-01,escalating,1
UKA-00205,1956-10-15,F,6845.35,2013-05-01,escalating,1
UKA-00206,1960-11-23,F,3232.68,2005-08-01,escalating,1
UKA-00207,1955-11-09,M,9763.9,1998-06-01,escalating,0
UKA-00208,1942-02-04,F,7768.6,2012-02-01,level,1
UKA-00209,1954-10-28,F,31388.62,2022-03-01,level,0
UKA-00210,1943-11-08,M,20001.79,2008-06-01,escalating,0
UKA-00211,1954-03-05,M,22317.98,2006-09-01,level,1
UKA-00212,1940-05-05,M,14238.5,2007-06-01,escalating,1
UKA-00213,1940-12-23,M,33183.16,2005-10-01,escalating,0
UKA-00214,1942-02-21,F,9497.73,2019-02-01,escalating,1
UKA-00215,1944-08-01,M,37980.29,2001-12-01,escalating,1
UKA-00216,1938-08-16,M,34308.71,2004-03-01,escalating,0
UKA-00217,1939-12-27,F,25245.92,2023-01-01,escalating,1
UKA-00218,1950-11-14,F,10298.88,2008-01-01,escalating,0
UKA-00219,1954-04-04,F,35087.78,2016-11-01,escalating,1
UKA-00220,1951-06-17,M,28010.93,1998-05-01,level,1
UKA-00221,1942-01-26,F,3478.88,2003-02-01,escalating,1
UKA-00222,1958-10-23,M,29149.54,2022-03-01,escalating,1
UKA-00223,1939-09-16,F,18095.98,2002-11-01,level,1
UKA-00224,1945-02-05,F,25369.48,2002-11-01,escalating,0
UKA-00225,1950-11-07,M,17304.39,2001-03-01,escalating,0
UKA-00226,1948-02-07,M,21123.72,2008-06-01,level,1
UKA-00227,1945-06-13,F,30824.93,2006-02-01,escalating,0
UKA-00228,1955-03-26,F,37402.02,2001-05-01,escalating,0
UKA-00229,1951-02-23,F,13118.35,2020-01-01,level,0
UKA-00230,1952-05-01,F,25984.62,2001-10-01,escalating,0
UKA-00231,1950-08-18,F,6248.68,2022-09-01,escalating,1
UKA-00232,1955-07-25,M,3191.23,2009-09-01,escalating,1
UKA-00233,1959-10-01,F,29424.01,2010-09-01,escalating,1
UKA-00234,1953-10-20,M,22066.96,2022-08-01,level,1
UKA-00235,1955-10-11,M,28949.66,2020-12-01,escalating,1
UKA-00236,1955-04-16,M,15667.88,2020-09-01,escalating,1
UKA-00237,1958-07-03,M,7210.73,2013-11-01,escalating,0
UKA-00238,1944-11-05,M,30251.96,2023-11-01,level,1
UKA-00239,1952-01-12,M,29938.73,2012-10-01,level,1
UKA-00240,1947-04-22,M,28416.28,2003-01-01,level,1
UKA-00241,1940-04-15,M,25771.83,2007-09-01,escalating,1
UKA-00242,1957-03-23,F,5574.0,2016-05-01,escalating,1
UKA-00243,1946-07-13,M,26318.3,2021-03-01,escalating,1
UKA-00244,1949-09-21,M,32919.41,1999-05-01,level,1
UKA-00245,1955-08-12,M,6032.14,2001-07-01,level,0
UKA-00246,1947-11-18,M,19481.64,2005-05-01,escalating,1
UKA-00247,1938-11-17,M,23753.86,2000-09-01,escalating,1
UKA-00248,1955-09-20,F,22214.08,2017-04-01,level,1
UKA-00249,1960-08-08,M,26094.42,1999-12-01,level,1
UKA-00250,1960-07-08,F,9502.34,2008-08-01,escalating,1
UKA-00251,1960-02-12,F,36728.54,2008-06-01,escalating,0
UKA-00252,1957-01-08,F,22484.59,2017-01-01,level,1
UKA-00253,1938-10-02,M,6079.88,2011-12-01,level,0
UKA-00254,1953-05-26,M,5642.94,2022-07-01,level,1
UKA-00255,1953-01-22,M,25160.28,2016-03-01,escalating,1
UKA-00256,1958-11-19,M,17046.01,2011-08-01,escalating,1
UKA-00257,1939-09-10,M,33602.35,2014-06-01,escalating,0
UKA-00258,1960-04-05,F,21707.77,2005-02-01,escalating,1
UKA-00259,1945-06-25,M,23960.39,2018-01-01,escalating,1
UKA-00260,1946-08-24,F,3542.62,2009-07-01,level,1
UKA-00261,1955-03-01,M,18477.63,2000-10-01,escalating,0
UKA-00262,1951-12-18,F,6237.83,2017-04-01,level,1
UKA-00263,1953-12-13,F,10261.99,2011-12-01,escalating,0
UKA-00264,1948-07-21,F,28827.47,2011-08-01,escalating,0
UKA-00265,1954-04-09,F,20719.34,2005-05-01,escalating,0
UKA-00266,1953-09-05,F,23086.78,2009-10-01,escalating,0
UKA-00267,1944-03-08,F,27475.59,2019-06-01,level,0
UKA-00268,1951-03-02,M,25704.34,2007-01-01,level,1
UKA-00269,1946-11-12,M,35540.02,2011-11-01,escalating,0
UKA-00270,1960-02-24,M,23766.7,2010-09-01,level,0
UKA-00271,1960-05-05,F,36334.05,2018-08-01,level,0
UKA-00272,1947-04-06,F,13892.62,2003-04-01,level,1
UKA-00273,1943-08-06,F,6870.34,2014-06-01,escalating,1
UKA-00274,1943-03-20,F,10082.31,2022-09-01,escalating,1
UKA-00275,1938-05-12,M,22404.96,2014-03-01,level,1
UKA-00276,1949-10-13,F,17684.04,1998-08-01,level,1
UKA-00277,1941-11-18,F,8740.08,2009-04-01,level,1
UKA-00278,1947-12-06,F,11349.6,2006-07-01,level,1
UKA-00279,1957-05-10,M,25567.42,2003-06-01,escalating,1
UKA-00280,1944-10-20,M,35024.96,2021-09-01,level,1
UKA-00281,1957-03-28,F,18275.91,2013-02-01,escalating,1
UKA-00282,1950-02-28,M,19429.53,2014-10-01,level,1
UKA-00283,1939-06-27,F,25513.62,2002-03-01,escalating,1
UKA-00284,1955-02-24,M,16081.7,2000-05-01,level,1
UKA-00285,1948-09-27,M,36176.8,2023-02-01,escalating,1
UKA-00286,1959-09-21,F,5349.12,2023-10-01,escalating,1
UKA-00287,1948-09-21,M,14411.9,2014-12-01,escalating,1
UKA-00288,1952-12-14,M,28276.02,2001-11-01,level,1
UKA-00289,1942-06-19,M,32289.47,1999-10-01,escalating,0
UKA-00290,1946-09-09,F,24694.94,2002-03-01,escalating,0
UKA-00291,1944-03-09,F,28920.74,1998-08-01,level,0
UKA-00292,1952-05-18,F,17889.86,2011-04-01,level,1
UKA-00293,1955-11-24,F,4467.77,2017-09-01,level,0
UKA-00294,1958-12-20,M,35463.62,2010-08-01,escalating,1
UKA-00295,1953-05-06,M,19156.71,2001-04-01,escalating,1
UKA-00296,1955-01-01,M,26814.99,2016-03-01,escalating,1
UKA-00297,1956-08-11,M,3848.45,2009-10-01,escalating,0
UKA-00298,1940-03-17,F,34463.2,2019-10-01,escalating,0
UKA-00299,1953-03-16,F,15576.67,2023-09-01,escalating,1
